review,label
"Very good quality and worth the price",genuine
"Product arrived on time and works perfectly",genuine
"I really liked it, good build quality",genuine
"Highly recommend, fast delivery and genuine product",genuine
"Nice product, good value for money",genuine
"Excellent performance, met my expectations",genuine
"Not bad, does the job as described",genuine
"Packaging was good and item is authentic",genuine
"Works fine and looks premium",genuine
"Good service and product quality is nice",genuine
"Best product ever!!! Must buy!!!",fake
"Awesome amazing superb!!! 5 stars!!!",fake
"Don't think just buy it, best in the world!!!",fake
"Very very very nice nice nice, love it!!!",fake
"Perfect perfect perfect, best deal!!!",fake
"Superb product and unbelievable offer, buy now!!!",fake
"This product is magical, changed my life!!!",fake
"Excellent excellent excellent!!!",fake
"Best purchase ever, unbelievable quality!!!",fake
"Good Good Good Good!!!",fake
